method_or_rung,metric,n_seeds,higher_is_better,final_window_mean_iqm,final_window_mean_ci_lo,final_window_mean_ci_hi,final_window_mean_mean,final_window_mean_std,best_iqm,best_ci_lo,best_ci_hi,best_mean,best_std
ablation_no_reperfusion,cumulative_reward,10,True,-39770.326306479,-45287.3925786016,-38737.55666561202,-41527.6215239432,3868.1567477993185,-34510.75689775,-37665.17043961857,-34076.288914,-35512.077019,2472.670420209218
ablation_no_reperfusion,ecbf_interventions,10,False,8884.1025,8047.818507142857,9052.256,8690.246,730.1049773127759,7512.25,6636.5,7721.025,7182.2,851.7431537734834
ablation_no_reperfusion,entropy,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_reperfusion,forced_rest_rate,10,,0.744859197,0.722451746725,0.7540127031428572,0.7382718758000001,0.02729444223372413,nan,nan,nan,nan,nan
ablation_no_reperfusion,jain_fairness,10,True,0.9998082875,0.9994849380000002,0.9998256861366667,0.9989556119999999,0.002517123205285996,0.9999965,0.9999939999999999,0.999998375,0.9999959,2.8460498941345583e-06
ablation_no_reperfusion,lambda,10,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_reperfusion,lazy_agent_flag,10,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ablation_no_reperfusion,peak_fatigue,10,False,0.7921460815700001,0.7921397674459286,0.8588234982657144,0.815483029752,0.049203300381441134,0.752257205,0.74805593,0.832834357142857,0.77816272,0.060154129209749004
ablation_no_reperfusion,per_agent_entropy_mean,10,,1.4681275,1.3887040104000001,1.5008308522699998,1.459305302,0.08831010096082305,nan,nan,nan,nan,nan
ablation_no_reperfusion,per_agent_entropy_min,10,,1.3952124680000002,1.2970907708000001,1.4556090204,1.3787492046,0.08962074829062001,nan,nan,nan,nan,nan
ablation_no_reperfusion,policy_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_reperfusion,safety_autonomy_index,10,,0.4191570565,0.3863345771428572,0.4456661368,0.418495906,0.03931826851988485,nan,nan,nan,nan,nan
ablation_no_reperfusion,safety_rate,10,True,0.24870845550000004,0.2141229514285715,0.24972255320000003,0.23692788220000005,0.019750246005592893,0.2604166,0.25654757142857143,0.2633927142857143,0.26020830000000006,0.0037333044061379416
ablation_no_reperfusion,tasks_completed,10,True,2526.7345,2418.5784,2565.3735,2489.0303999999996,102.15966260189658,2785.75,2759.0,2810.8,2784.1,30.830900804946396
ablation_no_reperfusion,value_loss,10,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ablation_no_reperfusion,violation_rate,10,False,0.7496041529999999,0.7481123616,0.7855734991428572,0.7617326668000001,0.020686713666233054,0.73463525,0.7313887999999998,0.7375696325000001,0.7345484,0.003560782660533441
ablation_no_reperfusion,wall_time,10,,5963.2614730625,5941.911823803334,5980.244776679,5960.7773380454,21.344505931669442,nan,nan,nan,nan,nan
